 ,Tribes ID,# avis Glassdoor,Note Glassdoor,Classements,Secteur,Business,Business Model,Cible,Fonds,Dernière levée (M€),Linkedin,Création,# employés,# d'employés,Domaine,Website,WTTJ,Mail type,Revenus,Croissance /an,Certification RH
Monisnap,02Q2Lls,-,n.a.,-,Fintech,Le transfert d'argent qui vous redonne le sourire,Service,B2C,"Evolem Start, Notus Technologies, Truffle Capital","2,5",https://www.linkedin.com/company/27111008,2017,11-50,18,monisnap.com,https://www.monisnap.com,,,-,n.a.,-
Evaneos,01yCiRU,40,"4,4",Next 40,Ecommerce,Voyages sur Mesure organisés par une Agence,Marketplace,B2C,-,,https://www.linkedin.com/company/1907265,2009,51-200,-,evaneos.com,https://www.evaneos.com,,prénom@evaneos.com,-,n.a.,-
Finfrog,02Q2M17,-,n.a.,-,Fintech,Obtenir un micro crédit rapide en 24h avec Finfrog pour vos besoins urgents,Service,B2C,Business angels,"3,0",https://www.linkedin.com/company/finfrog/,2016,11-50,21,finfrog.fr,https://finfrog.fr/,,,-,n.a.,-
Everoad,01yCiQQkd,10,"3,9",Top Linkedin,logistique,Le transport routier. Simplifié. - Everoad,SaaS,B2B,-,,https://www.linkedin.com/company/10808545,2016,51-200,80,everoad.com,https://www.everoad.com,,"prénom.nom@everoad.com, prénom.nom@convargo.com",-,n.a.,-
Saga Corp (manager.one),02Ne2Af,-,n.a.,-,Fintech,Une plateforme bancaire 100% en ligne,Autres,B2B,Martek,"3,0",https://www.linkedin.com/company/manager.one/,2016,11-50,21,manager.on,https://www.manager.one,,,-,n.a.,-
Wilov,01yChsi,-,n.a.,-,Fintech,La 1ère assurance auto à l'usage Pay When You Drive,Autres,B2C,"Allianz France, Arkéa","3,2",https://www.linkedin.com/company/wilov/,2016,2-10,24,wilov.com,https://www.wilov.com/,,,-,n.a.,-
Exotec Solutions,01yChnjAV,-,n.a.,FT 120,Deeptech,"Nous créons des solutions robotiques performantes qui permettent d'avoir une efficacité optimale dans la préparation de commande, et ce pour tout entrepôt.",Autres,B2B,-,,https://www.linkedin.com/company/exotec-solutions/,2015,51-200,-,exotec.com,https://www.exotec.com/,,,-,n.a.,-
Active Asset Allocation,02Ne2Ec,-,n.a.,-,Fintech,Gestion de patrimoine,Autres,B2C,"MAIF Avenir, Région Sud Investissement, Allianz France","4,0",https://www.linkedin.com/company/active-asset-allocation/?originalSubdomain=fr,2010,11-50,25,active-asset-allocation.com,http://active-asset-allocation.com/,,,-,n.a.,-
FairMoney,02Q2bkn,-,n.a.,-,Fintech,Digital mobile bank for emerging markets.,Autres,B2C,"Flourish Ventures, Newfund, Speedinvest, Le Studio VC","10,0",https://www.linkedin.com/company/fairmoney/,2017,51-200,50,fairmoney.ai,https://www.fairmoney.ai/,,,-,n.a.,-
Leeto,02H3jzt,-,n.a.,-,Fintech,Outil de Gestion CSE - Gestion de Comité d'Entreprise‎,SaaS,B2B,Founders Future,"2,0",https://www.linkedin.com/company/29005010,2018,11-50,25,leeto.co,https://www.leeto.co,,prénom@leeto.co,-,n.a.,-
FeetMe,01yChpj0v,-,n.a.,-,Iot,Simple & facile à utiliser. Les semelles FeetMe s'insèrent simplement dans vos chaussures et fournissent des informations lisibles.,Produit,B2C,"LBO France, Kurma Partners, Paris Saclay Seed Fund, Idinvest Partners, Seventure Partners, SOSV","9,4",https://www.linkedin.com/company/feetme/,2013,11-50,50,feetme.fr,https://feetme.fr/,,,-,n.a.,-
Helloprêt,02Ne2aR,-,n.a.,-,Fintech,Les meilleurs taux pour votre prêt immobilier,Autres,B2C,NewAlpha Asset Management,"4,0",https://www.linkedin.com/company/hellopret/,2018,11-50,26,hellopret.fr,https://www.hellopret.fr/,,,-,n.a.,-
Libeo,02Q2YAX,-,n.a.,-,Fintech,"Libeo Automatise la Saisie des Factures, vous n’avez plus qu’à valider et payez en un clic.",SaaS,B2B,"Breega, business angels, Bpifrance","2,0",https://www.linkedin.com/company/12627004,2019,11-50,26,libeo.io,http://www.libeo.io,,,-,n.a.,-
Finexkap,02HTzbI,8,"3,4",-,Fintech,Affacturage pour TPE et PME - Sans engagement ni caution‎,SaaS,B2B,Chenavari Investment Managers,"39,0",https://www.linkedin.com/company/2737880,2012,11-50,30,finexkap.com,http://www.finexkap.com,,,-,n.a.,-
Otherwise,02Ne2nx,-,n.a.,-,Fintech,"Vous voulez juste être assuré. Nous vous assurons, justement.",SaaS,B2C,"Mutualia Grand Ouest, 360 Capital Partners","2,0",https://www.linkedin.com/company/otherwisefr/,2016,2-10,26,otherwise.fr,https://otherwise.fr/,,,-,n.a.,-
Hoggo,02Q2LRE,-,n.a.,-,Fintech,"Entreprise ou indépendant, simplifiez votre couverture santé avec Hoggo",SaaS,B2B,GFC,"2,4",https://www.linkedin.com/company/hoggo/,2018,11-50,27,hoggo.com,https://www.hoggo.com/,,,-,n.a.,-
Flexy (ex FlexyBeauty),02Tv8X9eY,12,"3,4",-,Marketing,"Plateforme de réservation avec plus de 30 000 professionnels de la beauté, de la coiffure, du spa",Marketplace,B2C,-,,https://www.linkedin.com/company/flexyfr/,2014,51-200,-,app.flexybeauty.com,https://app.flexybeauty.com/,,,-,n.a.,-
Trustpair,02Q2Y6L,3,"2,2",-,Fintech,La solution pour déjouer les fraudes au virement,Autres,B2B,"Breega Capital, Axeleo","4,0",https://www.linkedin.com/company/trustpair/,2017,11-50,27,trustpair.fr,https://trustpair.fr/,,,-,n.a.,-
Flying Whales,02Ne2IoEc,176,"2,9",-,Mobilité,"Le projet vise à développer un dirigeable rigide, long de 154 mètres et doté d'une vitesse de croisière de 100 km/h.",Produit,B2B,"ADP, Bouygues, Air Liquide, région Nouvelle-Aquitaine, gouvernement du Québec","30,0",https://www.linkedin.com/company/flying-whales/,2012,51-200,130,flying-whales.com,http://flying-whales.com/,,,-,n.a.,-
Upflow,02EK89s,-,n.a.,-,Fintech,Finissez-en avec les impayés,SaaS,B2B,"Kima Ventures, eFounders","2,5",https://www.linkedin.com/company/27199126,2018,11-50,27,upflow.io,http://www.upflow.io,,prénom@upflow.io,-,n.a.,-
Kard,02Ne47Z,3,5,-,Fintech,La Banque en Plus Simple,SaaS,B2C,Business angels,"3,0",https://www.linkedin.com/company/14070814,2018,11-50,28,kard.eu,http://www.kard.eu,,,-,n.a.,-
Lovys,02Ne2Io,-,n.a.,-,Fintech,Assurance Pas Cher Personnalisée.,SaaS,B2C,"Maif Avenir, Portugal Ventures, Plug&Play","3,3",https://www.linkedin.com/company/10120202,2015,11-50,28,lovys.fr,http://lovys.fr,,,-,n.a.,-
Mooncard,02IRB0j,4,"3,6",-,Fintech,La Carte de Paiement Idéale‎,SaaS,B2B,"Aglaé Ventures, Raise Ventures","5,0",https://www.linkedin.com/company/10530308,2016,11-50,28,mooncard.co,https://www.mooncard.co/,,,-,n.a.,-
Sesamm,01yCi2N,-,n.a.,-,Fintech,Leading provider of alternative data analytics tools for investing. Access the power of big data using AI-powered products and solutions.,Autres,B2B,"Havenrock, Caisse d’Epargne Grand-Est Europe, AngelSquare Fintech, A-Venture","4,4",https://www.linkedin.com/company/sesamm-sas/,2014,11-50,28,sesamm.com,https://www.sesamm.com/,,,-,n.a.,-
Forsee Power,01yChxf,5,"3,4",-,Energie,Fournit des systèmes de batteries lithium-ion à haute valeur ajoutée pour toutes les applications de mobilité,Autres,B2B,Bpifrance,"15,0",https://www.linkedin.com/company/forsee-power/,2011,201-500,27,forseepower.com/?lang=f,https://www.forseepower.com/?lang=fr,,,-,n.a.,-
Fortia Financial Solutions,02LiccU16,8,"2,7",FT 120,Legaltech,Innova Compliance est une solution logicielle qui permet l'automatisation complète des contrôles de conformité des fonds,Service,B2B,-,,https://www.linkedin.com/company/10925983,2012,51-200,-,fortia.fr,http://fortia.fr/,,,-,n.a.,-
Founders Factory,01wa3Y0Yj,30,"3,8",-,Conseil / fonds,"We power founders to go further, faster.",Service,B2B,-,,https://www.linkedin.com/company/10001508,2015,11-50,-,foundersfactory.com,https://foundersfactory.com/,,,-,n.a.,-
Inqom (ex Fred de la Compta),02LkANjGu,-,n.a.,-,Fintech,La comptabilité automatisée - Solutions d'intelligence artificielle pour comptables,SaaS,B2B,-,,https://www.linkedin.com/company/inqomapp/,2016,11-50,30,inqom.com,https://www.inqom.com/,,,-,n.a.,-
Kaiko,01yCi1G,-,n.a.,-,Fintech,"Provides real-time and historical cryptocurrency market data through a cryptocurrency API, Data Feed, and websocket.",Autres,B2B,"Anthemis Group, Point Nine Capital, Coinshares, Consensys Ventures, Olymp Capital, Starchain Capital, Kima Ventures","5,0",https://www.linkedin.com/company/kaikodata/,2014,11-50,30,kaiko.com,https://www.kaiko.com/,,,-,n.a.,-
Fretlink,026B2J6oS,2,"3,5",FT 120,Mobilité,Outil collaboratif de mise en relation entre expéditeurs et transporteurs composé d'une plateforme SaaS,SaaS,B2B,"Daphni, Elaia Partners, Breega Capital, The Family, SGH Capital et Tekton Ventures, Edenred, TIP","25,0",https://www.linkedin.com/company/10214022,2015,2-10,-,fretlink.com,http://www.fretlink.com,,prénom.nom@fretlink.com,-,n.a.,-
Frichti,01yChokPt,92,"4,4",Next 40,Foodtech,Livraison 7J/7 - Cantine / Restos / -Super- Marché,Produit,B2C,-,,https://www.linkedin.com/company/10223743,2015,51-200,-,frichti.app.link,https://frichti.app.link/lTyAya1UN6,,prénom.nom@frichti.co,10-25M€,n.a.,-
TacoTax,01yCib1Ec,-,n.a.,-,Fintech,Tacotax vous aide à réduire vos impôts et à développer votre patrimoine en analysant instantanément votre situation.,SaaS,B2C,-,,https://www.linkedin.com/company/10292132,2015,11-50,31,tacotax.fr,https://www.tacotax.fr,,prénom@tacotax.fr,-,n.a.,-
Jenji,01yCi26,-,n.a.,-,Fintech,Le logiciel de notes de frais basé sur l'IA,Autres,B2B,"Idinvest, Axeleo Capital","6,0",https://www.linkedin.com/company/jenji/,2014,11-50,36,jenji.io/fr,https://www.jenji.io/fr/,,,-,n.a.,-
PayLead,02Ne3FD,-,n.a.,-,Fintech,Spécialiste de l'analyse des données bancaires,Autres,B2B,"Open CNP, Side Capital","6,0",https://www.linkedin.com/company/paylead/,2016,11-50,37,paylead.fr,https://www.paylead.fr/,,,-,n.a.,-
ACinq,01yCib1,-,n.a.,-,Fintech,A Bitcoin Technology Company,Autres,B2B,"Idinvest Partners, Serena, Bpifrance","7,0",https://www.linkedin.com/company/acinq/,2014,2-10,40,acinq.co,https://acinq.co/,,,-,n.a.,-
Akur8,01yCiOT,2,5,-,Fintech,Win the insurance pricing war with explainable Artificial Intelligence.,Autres,B2B,"BlackFin Capital Partners, MTech Capital","8,0",https://www.linkedin.com/company/akur8/,2018,11-50,44,akur8-tech.com,https://akur8-tech.com/,,,-,n.a.,-
Georges,01yChlH,-,n.a.,-,Cybersécurité,Le robot comptable des indépendants,SaaS,B2B,Alven,"10,0",https://www.linkedin.com/company/georges.tech/,2016,51-200,14,georges.tech,https://www.georges.tech/,,,-,n.a.,-
Pixpay,02EK8Ap,-,n.a.,-,Fintech,La Nouvelle Carte de Paiement‎,Service,B2C,"Global Founders, bpifrance","8,0",https://www.linkedin.com/company/14054376,2019,11-50,47,pixpay.fr,http://www.pixpay.fr,,,-,n.a.,-
GitGuardian,02SCyFf,1,1,-,Cybersécurité,GitGuardian helps development and security teams detect secrets like API keys and other credentials leaked on GitHub,SaaS,B2B,Balderton Capital,"11,0",https://www.linkedin.com/company/27139915,2017,11-50,15,gitguardian.com,http://www.gitguardian.com,,,-,n.a.,-
Gojob,02MWyvSnY,-,n.a.,-,RH,L'agence intérim en ligne engagée ,Marketplace,B2B,"Alter Equity, Banque des territoires, Région Sud Investissement, Kois","11,0",https://www.linkedin.com/company/10262054,2015,51-200,60,gojob.com,http://www.gojob.com,,prénom@gojob.com,-,n.a.,-
Navya,01yCi2Csw,12,"2,5",Top Linkedin,Fintech,"Solutions de mobilité autonome pour une mobilité sûre, rentable et performante",Produit,B2B,-,,https://www.linkedin.com/company/9218576,2014,11-50,-,navya.tech,http://www.navya.tech,,,-,n.a.,-
October,01yChoS,9,"4,1",Next 40,Fintech,Crédit simple & rapide pour entreprises avec October,Service,B2B,-,,https://www.linkedin.com/company/5365772,2014,11-50,-,october.eu,http://www.october.eu,,,-,n.a.,-
Payintech,01yChoTbM,4,"4,8",-,Fintech,La technologie cashless des paiements sur place,Service,B2B,-,,https://www.linkedin.com/company/3187244,2013,11-50,-,payintech.com,http://www.payintech.com,,prénom.nom@payintech.com,-,n.a.,-
Sowefund,02Q2YAXRE,-,n.a.,-,Fintech,"Investir et défiscaliser dans les jeunes entreprises françaises de demain, les startups les plus innovantes, les plus engagées. Inscription gratuite.",Marketplace,B2B,-,,https://www.linkedin.com/company/3534320,2013,2-10,,sowefund.com,https://www.sowefund.com/,,prénom@sowefund.com,-,n.a.,-
Gymlib,01yCiP5RF,16,"4,4",-,RH,Sport et bien-être pour les entreprises et les particuliers,SaaS,B2B,-,,https://www.linkedin.com/company/4874265,2013,2-10,,gymlib.com,http://www.gymlib.com,,prénom@gymlib.com,-,n.a.,-
Happytal,01yChlBvy,6,"3,7",FT 120,Autres,"Patients & proches, happytal c'est le sourire qui vous accompagne ! Choisissez un hôpital.",Marketplace,B2C,-,,https://www.linkedin.com/company/happytal/,2013,201-500,31,happytal.com,https://www.happytal.com/fr/,,,-,n.a.,-
Brâam,026BOAV,-,n.a.,-,Foodtech,L'expert de la caféteria d'entreprise saine et 0 déchet,Service,B2B,"Newfund, NCI Waterstart, High Flyers Capital","2,0",https://www.linkedin.com/company/11143643,2016,11-50,7,atelierbraam.com,https://atelierbraam.com,,prénom@atelierbraam.com,-,n.a.,-
Heetch,01yChmCJ6,22,"4,2",FT 120,Mobilité,App VTC | Faibles commissions | Chauffeurs Pro 24/7,Marketplace,B2C,"Cathay Innovation, Total Ventures, Idinvest Partners, Innov’Allianz, Alven, Félix Capital, Via-ID","34,0",https://www.linkedin.com/company/4792480,2013,11-50,165,heetch.com,https://www.heetch.com/en/jobs/,,prénom@heetch.com,-,n.a.,-
Vite Mon Marché,02LiccU,-,n.a.,-,Foodtech,Votre marché livré chez vous,Marketplace,B2C,"West Web Valley, GO Capital","2,3",https://www.linkedin.com/company/27118945,2017,11-50,17,vitemonmarche.fr,http://www.vitemonmarche.fr,,,-,n.a.,-
Véritable,02FGODD,-,n.a.,-,Foodtech,Véritable est une startup leader en agriculture urbaine d'intérieur.,Produit,B2C,"Angelor, le groupe Labruyère, Zébu Développement, Crédit Agricole Création, Angels for Food, Angels for Industrie","3,0",https://www.linkedin.com/company/veritable/,2015,11-50,23,veritable-potager.fr,https://www.veritable-potager.fr/,,,-,n.a.,-
Chefing,01yCiTL,-,n.a.,-,Foodtech,chefing est le premier acteur de l'événementiel traiteur en Île de France à mettre l'engagement et l'épanouissement au cœur des événements d'entreprise !,Service,B2B,"Financière Saint James, famille Bentzmann","4,0",https://www.linkedin.com/company/chefingtraiteur/,2016,11-50,25,chefing.fr,https://chefing.fr/,,,-,n.a.,-
hemea,02LkEkd,15,"4,9",-,Immobilier,Facilite vos travaux sur-mesure,SaaS,B2B,"Daphni, Breega Capital","5,0",https://www.linkedin.com/company/9197367,2014,2-10,48,hemea.com,https://www.hemea.com,,prénom@travauxlib.com,-,n.a.,-
Herow,02Tv8X9YA,-,n.a.,-,Marketing,The Location Intelligence Platform,SaaS,B2B,Xerys,"16,7",https://fr.linkedin.com/company/herow,2007,11-50,-,herow.io,https://www.herow.io/,,,-,n.a.,-
Hesus,02EL6fZ,4,"4,5",-,Greentech,Gestion de terres et de matériaux de chantier,SaaS,B2B,"Paris Fonds Vert, Suez Ventures, Construction Ventures","10,0",https://www.linkedin.com/company/5211407,2008,11-50,38,hesus.eu,http://www.hesus.eu,,,-,n.a.,-
Foodvisor,02Tv8gk,-,n.a.,-,Foodtech,Application Compteur de Calories,Service,B2C,"Demeter Ventures, Atomico, business angels","4,0",https://www.linkedin.com/company/10018480,2015,2-10,25,foodvisor.io,http://foodvisor.io,,prénom@foodvisor.io,-,n.a.,-
Hiflow,02Ne3pzzp,-,n.a.,-,Mobilité,Transport de Véhicule - Faire Transporter Sa Voiture‎,SaaS,B2B,"Innovallianz, Hi Inov Dentressangle, SNCF Digital Ventures, VIvacto Développement","4,0",https://www.linkedin.com/company/6415600,2012,51-200,3,hiflow.com,http://www.hiflow.com,https://www.welcometothejungle.com/fr/companies/expedicar,,-,n.a.,-
Beendhi,01m4ROQ,1,4,-,Foodtech,Spécialisée dans les préparations culinaires végétales bio,Produit,B2C,"daphni, Triodos Organic Growth Fund, Spice Capital, Quadia","4,0",https://www.linkedin.com/company/beendhi/,2013,11-50,27,,-,,,-,n.a.,-
Hari&Co,01yChnj,-,n.a.,-,Foodtech,Donnez du sens à votre alimentation tout en préservant le plaisir grâce aux légumineuses.,Produit,B2C,"Triodos Organic Growth Fund, Eutopia","3,2",https://www.linkedin.com/company/9390394,2014,-,32,hari-co.com,http://www.hari-co.com/,,,-,n.a.,-
PHENIX,02JyY9cYC,2,"4,5",FT 120,Foodtech,"Chez Phenix, nous proposons des solutions pour lutter contre le gaspillage alimentaire et donner une seconde vie aux invendus. Objectif : le Zéro Déchet !",SaaS,B2B,-,,https://www.linkedin.com/company/5127006,2014,11-50,34,wearephenix.com,http://www.wearephenix.com,,,-,n.a.,-
Hivebrite,02KfSu4,-,n.a.,-,Marketing,The Most Advanced Community Management and Engagement Platform.,SaaS,B2B,"Insight Partners, Ed Filippi","18,0",https://www.linkedin.com/company/10317653,2012,11-50,-,hivebrite.com,https://hivebrite.com,,,-,n.a.,-
Hivency,02LkEkdlv,16,"4,1",-,Marketing,Plateforme d'Influence - Trouvez des Influenceurs‎,SaaS,B2B,"Alliance Entreprendre, Pauline Duval","4,0",https://www.linkedin.com/company/10447413,2016,2-10,129,hivency.com,https://www.hivency.com,,prénom.nom@hivency.com,-,n.a.,-
Hoffmann Green Cement Technologies,02Lk88C,-,n.a.,-,Data,Pionnier du ciment décarboné,Autres,B2B,-,"15,0",https://www.linkedin.com/company/hoffmann-green-cement-technologies/,2015,11-50,85,ciments-hoffmann.fr,https://www.ciments-hoffmann.fr/,,,-,n.a.,-
Jow,01yChr9,-,n.a.,-,Foodtech,Vos courses en 1 minute,Service,B2C,"Stride.VC, eVentures","6,3",https://www.linkedin.com/company/27127103,2017,11-50,39,jow.fr,http://www.jow.fr,,,-,n.a.,-
Homa Games,01yCiRFAx,-,n.a.,-,Autres,Mobile Games Publisher,Produit,B2B,-,,https://www.linkedin.com/company/homa-games/,2018,51-200,-,homagames.com,https://homagames.com/,,,-,n.a.,-
Foodles,01yChmI,4,"3,7",-,Foodtech,Foodles - Repas de Saison et Variés‎,Service,B2B,"Creadev, DN Capital, Adelie","9,0",https://www.linkedin.com/company/5150766,2014,2-10,50,foodles.co,http://www.foodles.co,,,-,n.a.,-
Comparateuragricole.com,02FGODDAZ,-,n.a.,FT 120,Foodtech,Marketplace agricole,Marketplace,B2B,-,,https://www.linkedin.com/company/comparateur-agricole.com/,2016,2-10,-,comparateuragricole.com,https://comparateuragricole.com/,,,-,n.a.,-
Homeloop,02EK8Bo,-,n.a.,-,Immobilier,Vendez votre bien aujourd'hui‎,Service,B2C,Crescendix,"20,0",https://www.linkedin.com/company/10800666,2016,11-50,110,homeloop.fr,http://www.homeloop.fr,,p.nom@homeloop.fr,-,n.a.,-
Cook Angels,02EK8AP1A,1,1,-,Foodtech,La box repas livrée chez vous,Marketplace,B2C,-,,https://www.linkedin.com/company/cook-angels/,2012,11-50,-,cookangels.com,https://www.cookangels.com/,,,-,n.a.,-
Feed,02R26vy0k,-,n.a.,FT 120,Foodtech,C'est tout pour se nourrir‎,Produit,B2C,-,,https://www.linkedin.com/company/feed./,2017,11-50,-,feed.co,http://www.feed.co,,,-,n.a.,-
Hoppen,01yChpgJz,-,n.a.,-,Med / Biotech,HOPPEN met son expertise technologique au service de tous les établissements de santé pour les accompagner dans leur Transformation Digitale.,SaaS,B2B,"Extens, Geneo Capital Entrepreneur","32,0",https://www.linkedin.com/company/2048938,2011,11-50,-,hoppen.care,http://www.hoppen.care/,,,-,n.a.,-
FoodChéri,01wa3YAII,9,"3,5",-,Foodtech,"Livraison de plats faits maison, sains et gourmands",Service,B2B,-,,https://www.linkedin.com/company/10124988,2015,11-50,-,foodcheri.com,https://www.foodcheri.com,,prénom@foodcheri.com,-,n.a.,-
HotelTonight (now Airbnb),02EK8Bvj3,104,"4,1",-,Tourisme,Offres de dernière minute sur les meilleurs hôtels,Autres,B2C,-,,https://www.linkedin.com/company/hoteltonight,2010,201-500,37,hoteltonight.com,https://www.hoteltonight.com/fr/,,,-,n.a.,-
HR Path,02SCyo6,57,"3,4",Next 40,RH,L'acteur global RH,SaaS,B2B,-,,https://www.linkedin.com/company/665281,2001,201-500,37,hr-path.com,https://www.hr-path.com/fr/,,"prénom.nom@hr-path.com, prénom@hr-path.com",-,n.a.,-
Hubspot,01yChr7ti,1200,"4,7",-,Marketing,"Logiciels inbound de marketing, vente et service ...",SaaS,B2B,-,,https://www.linkedin.com/company/68529,2006,1001-5000,37,hubspot.com,https://www.hubspot.com,,pnom@hubspot.com,-,n.a.,-
Nestor,026BMMjRU,-,n.a.,-,Foodtech,Livraison de repas de chef à la maison et au bureau,Service,B2C,-,,https://www.linkedin.com/company/9277237,2015,11-50,-,nestorparis.com,http://www.nestorparis.com/,,prénom@nestorparis.com,-,n.a.,-
Hugging Face,01yCiRF,-,n.a.,-,Deeptech,We're on a journey to solve and democratize artificial intelligence through natural language.,Autres,B2B,"Lux Capital, ACapital Ventures, Betaworks","13,5",https://www.linkedin.com/company/huggingface/,2016,11-50,74,huggingface.co,https://huggingface.co/,,,-,n.a.,-
Popchef,01yCiUQjp,-,n.a.,-,Foodtech,Plateau repas à Paris & IDF. Livraison en entreprise,Marketplace,B2B,-,,https://www.linkedin.com/company/5364866,2015,11-50,-,eatpopchef.com,https://eatpopchef.com,,prénom@eatpopchef.com,-,n.a.,-
Totem,02Ne2xnnx,2,5,-,Foodtech,Finis les distributeurs ! Rassemblez vos équipes autour d'un bon café et de snacks healthy.,Produit,B2C,-,,https://www.linkedin.com/company/10973874,2016,11-50,,thetotem.co,https://www.thetotem.co,,prénom@thetotem.co,-,n.a.,-
Eva.gg (ex smartVR),01yCi29,-,n.a.,-,Gaming,"Produit fini intégrant structures, PODs, matériel informatique, casques VR, Guns connectés, scénographies",Produit,B2B,Trust Esport,"2,0",https://www.linkedin.com/company/evastadium/,2017,11-50,8,eva.gg,http://www.eva.gg,,,-,n.a.,-
iAdvize,02LkElvjp,49,"4,1",Next 40,Marketing,#1Plateforme Conversationnelle‎,SaaS,B2B,-,,https://www.linkedin.com/company/535762,2010,51-200,-,iadvize.com,http://www.iadvize.com/,,prénom@iadvize.com,10-25M€,n.a.,-
Plug In Digital,02IZAka,-,n.a.,-,Gaming,Entreprise française spécialisée dans l'édition et la distribution de jeux vidéo.,Service,B2B,Inter Invest Capital,"2,0",https://www.linkedin.com/company/plug-in-digital/,2012,11-50,12,plugindigital.com,https://plugindigital.com/,,,-,n.a.,-
GamersOrigin,01yCiOn,-,n.a.,-,Gaming,GamersOrigin est un club d'esport professionnel français,Service,B2C,Entrepreneur Venture,"3,0",https://www.linkedin.com/company/gamersorigin/,2011,11-50,21,gamersorigin.com,http://gamersorigin.com/,,,-,n.a.,-
Id&al groupe,01yChkJ,-,n.a.,-,Immobilier,"Revisitons l'immobilier. ID&AL groupe vous accompagne dans votre projet immobilier pour habiter, investir, faire louer et gérer, et estimer votre bien.",Service,B2C,LaTricogne Capital,"11,0",https://www.linkedin.com/company/ideal-groupe/,2011,51-200,63,ideal-groupe.com,https://www.ideal-groupe.com/,,,-,n.a.,-
Cozynergy,02N7209,-,n.a.,-,Greentech,Expert en rénovation énergétique,Service,B2C,"Demeter, Aviva Impact Investing France, Arkea, Saint Gobain Recherche, BTP Capital Investissement, IRDI, bpifrance","2,0",https://www.linkedin.com/company/cozynergy/,2013,11-50,8,cozynergy.com,https://www.cozynergy.com/,,,-,n.a.,-
Ilek,01yCi2C,-,n.a.,FT 120,Greentech,Fournisseur d'Energie - Électricité Verte et Gaz Bio‎,Service,B2C,"Alter Equity, Kima Ventures, Société Régionale de Participations Midi Pyrénées","6,0",https://www.linkedin.com/company/9216567,2016,51-200,35,ilek.fr,https://www.ilek.fr,https://www.welcometothejungle.com/fr/companies/ilek,,-,n.a.,-
Les Ripeurs,02ELMVS,-,n.a.,-,Greentech,Une solution globale de collecte et de revalorisation des déchets de chantier en Île-de-France,Service,B2B,"Possible Future, Alter equity","2,0",https://www.linkedin.com/company/18289149,2017,2-10,10,lesripeurs.com,http://www.lesripeurs.com,,,-,n.a.,-
Imcheck Therapeutics,02Q2LREQ4,-,n.a.,FT 120,Med / Biotech,Med / Biotech,Produit,B2C,"Pfizer Ventures, Bpifrance, Idinvest, Wellington Partners, Agent Capital, Alexandria Venture Investments","48,0",https://fr.linkedin.com/company/imcheck-therapeutics,2015,11-50,290,imchecktherapeutics.com,https://www.imchecktherapeutics.com/,NON,,-,n.a.,-
Murfy,02TunY8,-,n.a.,-,Greentech,Réparateurs Électroménager à Domicile,Service,B2C,Investir&+,"2,0",https://www.linkedin.com/company/11283645,2017,11-50,11,murfy.fr,http://www.murfy.fr,,,-,n.a.,-
Inato,01m4RPTPM,3,5,-,Med / Biotech,Med / Biotech,Produit,B2C,"Obvious Ventures, Cathay Innovation, Serena, Fly Ventures","12,6",https://www.linkedin.com/company/inato/,2016,11-50,70,inato.com,https://inato.com/,,,-,n.a.,-
Solean,01yChrF,-,n.a.,-,Greentech,Solutions innovantes d'assemblage de modules PV,Service,B2B,Savoie Mont Blanc Angels,"2,0",https://www.linkedin.com/company/solean-equipment/,2016,2-10,13,solean.fr,https://solean.fr/,,,-,n.a.,-
Mascara Renewable Water,01yChlB,-,n.a.,-,Greentech,Solutions de dessalement solaire,Produit,B2B,"Famae, Gaia Impact Fund, Wiseed","2,2",https://www.linkedin.com/company/mascara-renewable-water/,2014,11-50,15,osmosunwater.solutions,https://www.osmosunwater.solutions/,,,-,n.a.,-
InnovaFeed,026B0AxVj,11,"4,7",-,Med / Biotech,Entreprise biotechnologique qui commercialise une nouvelle source de protéines provenant de l'élevage d'insectes,Autres,B2C,-,,https://www.linkedin.com/company/innovafeed/,2016,51-200,,innovafeed.com,https://innovafeed.com/,,,-,n.a.,-
Innovorder,01yCiQQrQ,23,"4,3",-,Marketing,La suite logicielle pour la restauration,SaaS,B2B,"Kreaxi, Inocap Gestion, Anaxago, Petit Poucet, Alto Invest, Evolem, FJ Labs","10,0",https://www.linkedin.com/company/5384838,2014,11-50,250,innovorder.fr,http://www.innovorder.fr,,prénom.nom@innovorder.fr,-,n.a.,-
Inotrem,02Q2bknRE,-,n.a.,FT 120,Med / Biotech,Med / Biotech,Produit,B2C,"Morningside Venture, Invus, Andera Partners, Sofinnova Partners, BiomedInvest","39,0",https://fr.linkedin.com/company/inotrem-sa,n.a.,11-50,205,inotrem.com,https://www.inotrem.com/,,,-,n.a.,-
Qotto,01yChwQ,-,n.a.,-,Greentech,Nous concevons et distribuons des kits solaires autonomes pour répondre aux besoins des familles en zone rurale au Bénin,Produit,B2C,"Sowefund, business angels","2,2",https://www.linkedin.com/company/qotto/,2016,11-50,16,otto.net,http://www.qotto.net/,,,-,n.a.,-
